x1,x2,y1,y2
-0.9678,-0.4194,44.88844784,88.93174768
-0.9678,-0.387,45.07396376,87.67118888
-0.9678,-0.3548,45.2510541,86.38092754
-0.9678,-0.3226,45.42088656,85.05329848
-0.9678,-0.2904,45.58346114,83.68830171
-0.9678,-0.258,45.73971986,82.27711012
-0.9678,-0.2258,45.8877336,80.83714583
-0.9678,-0.1936,46.02848946,79.35981382
-0.9678,-0.1612,46.16279394,77.83558926
-0.9678,-0.129,46.28898896,76.28328972
-0.9678,-0.0968,46.4079261,74.69362248
-0.9678,-0.0646,46.51960536,73.06658752
-0.9678,-0.0322,46.62465264,71.39173017
-0.9678,0,46.72177106,69.68972769
-0.9678,0.0322,46.8116316,67.95035749
-0.9678,0.0646,46.89472464,66.16246717
-0.9678,0.0968,46.97002434,64.34812945
-0.9678,0.129,47.03806616,62.49642401
-0.9678,0.1612,47.0988501,60.60735086
-0.9678,0.1936,47.15268594,58.66882776
-0.9678,0.2258,47.19890904,56.70478708
-0.9678,0.258,47.23787426,54.7033787
-0.9678,0.2904,47.26975586,52.65182262
-0.9678,0.3226,47.29416024,50.57544671
-0.9678,0.3548,47.31130674,48.46170308
-0.9678,0.387,47.32119536,46.31059174
-0.9678,0.4194,47.32381976,44.10840288
-0.9678,0.4516,47.31914754,41.88232402
-0.9678,0.4838,47.30721744,39.61887744
-0.9678,0.5162,47.2878876,37.3036556
-0.9678,0.5484,47.26139666,34.9652415
-0.9678,0.5806,47.22764784,32.58945968
-0.9678,0.613,47.18636376,30.16120488
-0.9678,0.6452,47.1380541,27.71045554
-0.9678,0.6774,47.08248656,25.22233848
-0.9678,0.7096,47.01966114,22.69685371
-0.9678,0.742,46.94911986,20.11796612
-0.9678,0.7742,46.8717336,17.51751383
-0.9678,0.8064,46.78708946,14.87969382
-0.9678,0.8388,46.69459394,12.18777326
-0.9678,0.871,46.59538896,9.474985725
-0.9678,0.9032,46.4889261,6.724830479
-0.9678,0.9354,46.37520536,3.93730752
-0.9678,0.9678,46.25345264,1.094754173
-0.9678,1,46.12517106,-1.767736311
-0.9354,-1,40.63139394,105.3161385
-0.9354,-0.9678,40.94352464,104.7496505
-0.9354,-0.9354,41.2502684,104.1419273
-0.9354,-0.9032,41.54783826,103.5004718
-0.9354,-0.871,41.83815024,102.8216485
-0.9354,-0.8388,42.12120434,102.1054575
-0.9354,-0.8064,42.3986909,101.3471015
-0.9354,-0.7742,42.66718416,100.555943
-0.9354,-0.742,42.92841954,99.72741682
-0.9354,-0.7096,43.18395186,98.85602789
-0.9354,-0.6774,43.4306264,97.95253414
-0.9354,-0.6452,43.67004306,97.01167268
-0.9354,-0.613,43.90220184,96.03344351
-0.9354,-0.5806,44.12847696,95.0114218
-0.9354,-0.5484,44.3460749,93.9582251
-0.9354,-0.5162,44.55641496,92.86766068
-0.9354,-0.4838,44.76073584,91.732606
-0.9354,-0.4516,44.95651506,90.56707406
-0.9354,-0.4194,45.1450364,89.36417441
-0.9354,-0.387,45.32740304,88.11608676
-0.9354,-0.3548,45.50136354,86.83821958
-0.9354,-0.3226,45.66806616,85.52298469
-0.9354,-0.2904,45.8275109,84.17038209
-0.9354,-0.258,45.98062034,82.77166165
-0.9354,-0.2258,46.12550424,81.34409152
-0.9354,-0.1936,46.26313026,79.87915368
-0.9354,-0.1612,46.39428546,78.36740026
-0.9354,-0.129,46.51735064,76.8274949
-0.9354,-0.0968,46.63315794,75.25022182
-0.9354,-0.0646,46.74170736,73.63558103
-0.9354,-0.0322,46.84360536,71.97319483
-0.9354,0,46.93759394,70.28358651
-0.9354,0.0322,47.02432464,68.55661048
-0.9354,0.0646,47.1042684,66.78119131
-0.9354,0.0968,47.17643826,64.97924775
-0.9354,0.129,47.24135024,63.13993648
-0.9354,0.1612,47.29900434,61.2632575
-0.9354,0.1936,47.3496909,59.33720554
-0.9354,0.2258,47.39278416,57.38555904
-0.9354,0.258,47.42861954,55.39654482
-0.9354,0.2904,47.45735186,53.35745989
-0.9354,0.3226,47.4786264,51.29347814
-0.9354,0.3548,47.49264306,49.19212868
-0.9354,0.387,47.49940184,47.05341151
-0.9354,0.4194,47.49887696,44.8636938
-0.9354,0.4516,47.4910749,42.6500091
-0.9354,0.4838,47.47601496,40.39895668
-0.9354,0.5162,47.45353584,38.096206
-0.9354,0.5484,47.42391506,35.77018606
-0.9354,0.5806,47.3870364,33.40679841
-0.9354,0.613,47.34260304,30.99101476
-0.9354,0.6452,47.29116354,28.55265958
-0.9354,0.6774,47.23246616,26.07693669
-0.9354,0.7096,47.1665109,23.56384609
-0.9354,0.742,47.09282034,20.99742965
-0.9354,0.7742,47.01230424,18.40937152
-0.9354,0.8064,46.92453026,15.78394568
-0.9354,0.8388,46.82888546,13.10449626
-0.9354,0.871,46.72655064,10.4041029
-0.9354,0.9032,46.61695794,7.66634182
-0.9354,0.9354,46.50010736,4.891213027
-0.9354,0.9678,46.37520536,2.061130829
-0.9354,1,46.24379394,-0.788965489
-0.9032,-1,40.93520416,105.5192609
-0.9032,-0.9678,41.24422434,104.9650905
-0.9032,-0.9354,41.54783826,104.3697615
-0.9032,-0.9032,41.8422976,103.7406236
-0.9032,-0.871,42.12949906,103.074118
-0.9032,-0.8388,42.40944264,102.3702447
-0.9032,-0.8064,42.68379936,101.6242829
-0.9032,-0.7742,42.9491821,100.845442
-0.9032,-0.742,43.20730696,100.0292335
-0.9032,-0.7096,43.45970944,99.17023871
-0.9032,-0.6774,43.70327346,98.27906262
-0.9032,-0.6452,43.9395796,97.35051882
