x1,x2,y1
-0.9032,-0.9678,41.25674382
-0.9032,-0.9354,41.55094878
-0.9032,-0.9032,41.8422976
-0.9032,-0.871,42.13260958
-0.9032,-0.8388,42.42188472
-0.9032,-0.8064,42.71191008
-0.9032,-0.7742,42.9991051
-0.9032,-0.742,43.28526328
-0.9032,-0.7096,43.57215232
-0.9032,-0.6774,43.85623038
-0.9032,-0.6452,44.1392716
-0.9032,-0.613,44.42127598
-0.9032,-0.5806,44.70398542
-0.9032,-0.5484,44.98390968
-0.9032,-0.5162,45.2627971
-0.9032,-0.4838,45.54237022
-0.9032,-0.4516,45.81917752
-0.9032,-0.4194,46.09494798
-0.9032,-0.387,46.37138478
-0.9032,-0.3548,46.64507512
-0.9032,-0.3226,46.91772862
-0.9032,-0.2904,47.18934528
-0.9032,-0.258,47.46160248
-0.9032,-0.2258,47.73113902
-0.9032,-0.1936,47.99963872
-0.9032,-0.1612,48.2687596
-0.9032,-0.129,48.53517918
-0.9032,-0.0968,48.80056192
-0.9032,-0.0646,49.06490782
-0.9032,-0.0322,49.3298491
-0.9032,0,49.59211488
-0.9032,0.0322,49.85334382
-0.9032,0.0646,50.11514878
-0.9032,0.0968,50.3742976
-0.9032,0.129,50.63240958
-0.9032,0.1612,50.88948472
-0.9032,0.1936,51.14711008
-0.9032,0.2258,51.4021051
-0.9032,0.258,51.65606328
-0.9032,0.2904,51.91055232
-0.9032,0.3226,52.16243038
-0.9032,0.3548,52.4132716
-0.9032,0.387,52.66307598
-0.9032,0.4194,52.91338542
-0.9032,0.4516,53.16110968
-0.9032,0.4838,53.4077971
-0.9032,0.5162,53.65497022
-0.9032,0.5484,53.89957752
-0.9032,0.5806,54.14314798
-0.9032,0.613,54.38718478
-0.9032,0.6452,54.62867512
-0.9032,0.6774,54.86912862
-0.9032,0.7096,55.10854528
-0.9032,0.742,55.34840248
-0.9032,0.7742,55.58573902
-0.9032,0.8064,55.82203872
-0.9032,0.8388,56.0587596
-0.9032,0.871,56.29297918
-0.9032,0.9032,56.52616192
-0.9032,0.9354,56.75830782
-0.9032,0.9678,56.9908491
-0.9032,1,57.22091488
-0.871,-1,41.2816795
-0.871,-0.9678,41.56577688
-0.871,-0.9354,41.85059232
-0.871,-0.9032,42.13260958
-0.871,-0.871,42.41359
-0.871,-0.8388,42.69353358
-0.871,-0.8064,42.97416942
-0.871,-0.7742,43.25203288
-0.871,-0.742,43.5288595
-0.871,-0.7096,43.80635902
-0.871,-0.6774,44.08110552
-0.871,-0.6452,44.35481518
-0.871,-0.613,44.627488
-0.871,-0.5806,44.90080792
-0.871,-0.5484,45.17140062
-0.871,-0.5162,45.44095648
-0.871,-0.4838,45.71114008
-0.871,-0.4516,45.97861582
-0.871,-0.4194,46.24505472
-0.871,-0.387,46.512102
-0.871,-0.3548,46.77646078
-0.871,-0.3226,47.03978272
-0.871,-0.2904,47.30206782
-0.871,-0.258,47.5649355
-0.871,-0.2258,47.82514048
-0.871,-0.1936,48.08430862
-0.871,-0.1612,48.34403998
-0.871,-0.129,48.601128
-0.871,-0.0968,48.85717918
-0.871,-0.0646,49.11219352
-0.871,-0.0322,49.36774528
-0.871,0,49.6206795
-0.871,0.0322,49.87257688
-0.871,0.0646,50.12499232
-0.871,0.0968,50.37480958
-0.871,0.129,50.62359
-0.871,0.1612,50.87133358
-0.871,0.1936,51.11956942
-0.871,0.2258,51.36523288
-0.871,0.258,51.6098595
-0.871,0.2904,51.85495902
-0.871,0.3226,52.09750552
-0.871,0.3548,52.33901518
-0.871,0.387,52.579488
-0.871,0.4194,52.82040792
-0.871,0.4516,53.05880062
-0.871,0.4838,53.29615648
-0.871,0.5162,53.53394008
-0.871,0.5484,53.76921582
-0.871,0.5806,54.00345472
-0.871,0.613,54.238102
-0.871,0.6452,54.47026078
-0.871,0.6774,54.70138272
-0.871,0.7096,54.93146782
-0.871,0.742,55.1619355
-0.871,0.7742,55.38994048
-0.871,0.8064,55.61690862
-0.871,0.8388,55.84423998
-0.871,0.871,56.069128
-0.871,0.9032,56.29297918
-0.871,0.9354,56.51579352
-0.871,0.9678,56.73894528
-0.871,1,56.9596795
-0.8388,-1,41.59900728
-0.8388,-0.9678,41.8737731
-0.8388,-0.9354,42.14919902
-0.8388,-0.9032,42.42188472
-0.8388,-0.871,42.69353358
-0.8388,-0.8388,42.9641456
-0.8388,-0.8064,43.23539192
-0.8388,-0.7742,43.50392382
-0.8388,-0.742,43.77141888
-0.8388,-0.7096,44.03952888
-0.8388,-0.6774,44.30494382
-0.8388,-0.6452,44.56932192
-0.8388,-0.613,44.83266318
-0.8388,-0.5806,45.09659358
-0.8388,-0.5484,45.35785472
-0.8388,-0.5162,45.61807902
-0.8388,-0.4838,45.8788731
-0.8388,-0.4516,46.13701728
-0.8388,-0.4194,46.39412462
-0.8388,-0.387,46.65178238
-0.8388,-0.3548,46.9068096
-0.8388,-0.3226,47.16079998
-0.8388,-0.2904,47.41375352
-0.8388,-0.258,47.66723168
-0.8388,-0.2258,47.9181051
-0.8388,-0.1936,48.16794168
-0.8388,-0.1612,48.41828352
-0.8388,-0.129,48.66603998
-0.8388,-0.0968,48.9127596
-0.8388,-0.0646,49.15844238
-0.8388,-0.0322,49.40460462
-0.8388,0,49.64820728
-0.8388,0.0322,49.8907731
-0.8388,0.0646,50.13379902
-0.8388,0.0968,50.37428472
-0.8388,0.129,50.61373358
-0.8388,0.1612,50.8521456
-0.8388,0.1936,51.09099192
-0.8388,0.2258,51.32732382
-0.8388,0.258,51.56261888
-0.8388,0.2904,51.79832888
-0.8388,0.3226,52.03154382
-0.8388,0.3548,52.26372192
-0.8388,0.387,52.49486318
